Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,No rep.,Moyenne,Question
Political similarity,LR,397.5368,0.6949998999999999,0.22772553383737051,0.016568352917264512,0.0149999,0.03982363,0.10008887,0.16631483999999983,0.13158918,0.24499990000000002,0.11636166000000002,0.07812336,0.03324052,0.00879015,0.0077782,0.05788979,4.414138,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,Radical right,1008.8,0.795,0.14499990000000001,0.024032642743854082,0.10437004,0.09682953,0.12606027,0.16831874000000002,0.13578519,0.15714582,0.05869524,0.054394229999999995,0.03250937,0.0149999,0.00879106,0.04210061,3.549581,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,Debout la France,86.14185,0.7968158334189479,0.17194116448625144,0.022148444687454468,0.08042459,0.13742623,0.1332169,0.21771032,0.12121251,0.10682518,0.05962828,0.04403296,0.06827995,0.02214844,0.0,0.00909453,3.519552,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,Reconquete,205.4045,0.8205063667056952,0.11552492764277315,0.019290385556304752,0.09568802,0.08526054999999999,0.16032093,0.1899230399999999,0.10499990000000001,0.18431378000000004,0.05661507,0.03573373,0.02317611,0.01929039,0.0,0.04467848,3.418872,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,RN,717.2537,0.785,0.15104753032295268,0.0249999,0.10973216,0.09499990000000001,0.11538931,0.1564628800000001,0.14634222,0.15540903,0.05917889,0.06098252,0.03088617,0.0132526,0.01236442,0.0449999,3.590782,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Political similarity,No preference,1860.95,0.785,0.1149999,0.017921051076063302,0.05992982000000001,0.065,0.10980499,0.15596787,0.1338893,0.25548957,0.05461125,0.044674160000000004,0.02225953,0.00601976,0.01190129,0.08045246,3.868685,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Total-left,1649.278,0.6749999,0.225,0.035,0.04395898,0.04411077,0.09346429,0.14283468,0.15288296,0.21174157,0.0960821,0.07794059,0.045,0.015,0.01650075,0.060483310000000005,4.371237,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Very Left,217.9165,0.6449999,0.2252953768989498,0.05165244485846643,0.09698238,0.0849999,0.09041422,0.15308309,0.07757861,0.14278639,0.07822528,0.08713705,0.05993305,0.0224033,0.02924913,0.0772076,4.120013,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Left,1431.362,0.6949998999999999,0.21724455448726457,0.02760477084063989,0.03588645,0.03786253,0.09392865,0.14129738,0.16434752,0.22345099999999993,0.09880065,0.07654046,0.04190336,0.013044879999999998,0.015,0.05793712,4.408701,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Center,776.1196,0.6249998999999999,0.285479067916852,0.035,0.00949163,0.029824529999999995,0.0649999,0.1149999,0.17078682,0.2394980200000002,0.11729249,0.12088783999999998,0.04729863,0.01578056,0.01802957,0.05111010999999999,4.883091,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Total-right,1622.94,0.695,0.23400193476037315,0.0249999,0.05859746,0.05835083,0.09964318000000001,0.16655175,0.13266695,0.17651016,0.09494923,0.08869170000000001,0.05036094000000001,0.01437806,0.01110385,0.04819485,4.207144,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
Politics,Right,1193.119,0.670526661632243,0.255,0.0224687814040343,0.03248411,0.04140449,0.0953966,0.175,0.14255493,0.1836873099999999,0.10750478,0.09573354,0.05165093,0.01238389,0.0100849,0.05211452,4.417539,"new8bv12b. Avez-vous le sentiment que, lorsqu'ils auront votre âge, vos enfants auront une situation plus mauvaise ou meilleure que la vôtre ? Vraiment plus mauvaiseVraiment
meilleure"
