Indicator,Category,BASE,ST Extreme gauche,ST Gauche,ST Centre,ST Droite,ST Extrème droite,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,NSP,Question
Political similarity,RN,717.2537,0.011908554811219515,0.03270155316033922,0.10540765422332432,0.2749999,0.435,0.00325806,0.0086505,0.01905941,0.00494911,0.00869304,0.10540765,0.0449999,0.06951342,0.16385596999999996,0.16793472,0.26634048,0.13733774,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Political similarity,No preference,1860.95,0.020533507079717347,0.12631994411456512,0.20392100808726726,0.145,0.013808834197587253,0.00994052,0.01059298,0.02129351,0.05541842,0.04960797,0.20392101,0.05588909,0.04947529,0.03854131,0.00947553,0.0043333,0.49151202,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Total-left,1649.278,0.177330262090442,0.6749999,0.02933564262665239,0.07655980374442635,0.015,0.06877597,0.10855429,0.24340656999999996,0.2730346100000001,0.16232296999999998,0.02933564,0.02293206,0.025,0.02877016,0.00949444,0.00506801,0.02330528,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Very Left,217.9165,0.7255696562674234,0.1149999,0.032372477531531565,0.07499990000000001,0.045000000000000005,0.43656745,0.2890023,0.05319235,0.03492071,0.02720106,0.03237248,0.02119061,0.01121194,0.043559310000000004,0.01649373,0.025278600000000002,0.00901002,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Left,1431.362,0.09386388628453178,0.7647101152608494,0.02887328292912624,0.07665077038512969,0.010419907752196858,0.012781840000000001,0.08108207,0.27236548,0.30945023,0.18289447,0.02887328,0.02319718,0.02693503,0.02651859,0.00842884,0.00199107,0.02548165,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Center,776.1196,0.0031518634499115854,0.1322569356578548,0.38989699525691657,0.40845276939275854,0.018018898118279707,0.0,0.00315186,0.00320837,0.02775231,0.10129626,0.38900395000000004,0.26261854,0.097732,0.04810219999999999,0.013912419999999998,0.005,0.04822209,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Total-right,1622.94,0.008239096947515004,0.0049999,0.025129148335736377,0.625,0.3096111994281982,0.0,0.0082391,0.0049091,0.00230061,0.0021962,0.02512915,0.09583417,0.24254778,0.28605198,0.14666537,0.1629457,0.02317987,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Right,1193.119,0.011207230795922285,0.012794381784214316,0.021979995289656776,0.7889571786217469,0.1403776991230548,0.0,0.011207229999999999,0.006677599999999999,0.0031294,0.00298738,0.02198,0.1236502,0.31507989,0.3499105700000002,0.11298412,0.02739361,0.025,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Very Right,429.8207,0,0,0.03387075122254466,0.16774078121412023,0.7793787037245997,0.0,0.0,0.0,0.0,0.0,0.03387075,0.01862092,0.0412093,0.10791051,0.24016014,0.53921856,0.01900929,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Both left and Right,200.4265,0,0.1703144045323348,0.35600601716838837,0.24957223720416213,0.022489406340977864,0.0,0.0,0.0032054900000000005,0.04622517,0.12088377,0.35639346000000005,0.13827628,0.08165237999999998,0.029643549999999998,0.0071017,0.0149999,0.2016183,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Politics,Neither left nor right,1673.316,0.002259045512025224,0.04136479899791791,0.2537124488142108,0.08559704204107293,0.010748316516426068,0.00064996,0.00160908,0.00708146,0.01175831,0.022525029999999998,0.25371245,0.04318094,0.0261503,0.01626577,0.00708355,0.00366477,0.60631943,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
Loss of job risk,High risk,556.2398,0.07499990000000001,0.18817801243276733,0.145,0.24040261052876835,0.11803168345738656,0.03344872,0.04457311,0.07873484,0.05678060000000001,0.05266259,0.145,0.08084873000000001,0.07293063,0.08662325,0.04780224,0.07022944,0.23036584999999998,"nou1. Sur une échelle de 0 à 10, où 0 correspond à la gauche et 10 correspond à la droite, où diriez-vous que vous vous situez ?Cliquer sur le curseur pour vous positionner"
