Indicator,Category,BASE,ST Améliorée,ST Aggravée,Beaucoup améliorée,Un peu améliorée,Un peu aggravée,Beaucoup aggravée,N'a pas changée,No rep.,Question
Politics,Center,776.1196,0.7732263171810118,0.1511684539341617,0.18852391,0.58470202,0.12134913,0.029819299999999997,0.07545646,0.00014868,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Total-right,1622.94,0.5396665927267797,0.3574379213033137,0.10256496999999999,0.43710179999999993,0.2298125,0.12762554,0.09076916,0.012125270000000002,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Right,1193.119,0.605,0.292256933298355,0.125,0.4789859000000001,0.21040617,0.08185075,0.08977034,0.01398684,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Very Right,429.8207,0.36112918712384023,0.5383707671594226,0.04132186,0.31949753,0.28368108,0.255,0.09354168,0.00695785,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Both left and Right,200.4265,0.6069122596063894,0.26329986304206277,0.13140882,0.47550349,0.1801642,0.08313566,0.12798652,0.00180171,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Politics,Neither left nor right,1673.316,0.3642719605860459,0.4358091358715269,0.03861127,0.32499989999999995,0.2507051700000001,0.18576401999999997,0.14308092,0.05683872,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Loss of job risk,High risk,556.2398,0.3588065794644684,0.4861176780230398,0.07994281,0.27886372,0.20038282,0.28573468,0.14095976,0.01411595,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Loss of job risk,Low risk,1874.312,0.4623231884552839,0.4123162525769456,0.05312216,0.40874696,0.26099481,0.15132176,0.11081431,0.015,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
Loss of job risk,Zero risk,3478.817,0.575,0.2908092032435164,0.10761204000000002,0.46682547,0.2032699,0.08753936,0.10499990000000001,0.02975333,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Arthaud,24.07418,0.5949998999999999,0.3107332835427832,0.10235364,0.49298418,0.10201559999999998,0.20871763999999998,0.06810454,0.02582415,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Poutou,32.85668,0.3849999,0.48917145615442587,0.08267162000000002,0.30402223,0.3638082100000001,0.12536337,0.11673577,0.00739894,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Roussel,98.04205,0.5373651407737802,0.34486661590613416,0.04587974,0.49093581000000003,0.26239884,0.08246768999999998,0.085,0.03331792,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Melenchon,942.3053,0.4162961834131677,0.4249999,0.03953534,0.37676091,0.27096409,0.15471705,0.14273049,0.0152919,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Hidalgo,75.31895,0.6595530075764465,0.2149999,0.05514461,0.60440832,0.14403294,0.0709991,0.12541518,0,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Jadot,198.8808,0.6348898435645874,0.20856281752688044,0.054999900000000004,0.5798897600000001,0.14883589,0.05972693,0.13595767,0.02058985,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Macron,1195.294,0.8535105170778068,0.09139851785418482,0.27215932,0.5807262800000002,0.08273088000000002,0.00866765,0.045,0.01071587,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Pecresse,205.1207,0.7091297952863851,0.1891535081539796,0.09722885,0.61190119,0.13276559,0.05638797,0.08966521000000001,0.012051099999999999,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Dupont-Aignan,88.56025,0.3621959061768683,0.5199740289802706,0.05253839999999999,0.30965755,0.20923483999999998,0.3107393,0.11782995,0,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Zemmour,303.4525,0.4049999,0.46072515467824454,0.03199374,0.3743742600000001,0.28345286,0.17727223,0.115,0.01790691,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Le Pen,993.0248,0.34415233134157375,0.517212963865555,0.03101664,0.31313589,0.31659824,0.20061463000000002,0.12545477,0.013179750000000002,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Lassalle,134.5409,0.54175406883706,0.345,0.05114269999999999,0.49061133,0.22832536,0.11619062,0.11372951,0,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Blank/Null/NA,96.61228,0.395,0.42302055183875176,0.03716476,0.35664628000000004,0.27039523,0.15262521,0.14182452,0.04134357,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Blank,63.86856,0.415235132904202,0.40293753295831314,0.0457901,0.3694450000000001,0.26070057,0.14223709,0.14481732,0.03700959,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
1st round vote,Null,19.09123,0.3383204748986839,0.5505114128319653,0.02636486,0.31195565,0.33317015,0.21734105,0.0940723,0.01709632,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
2nd round vote,Macron,2287.563,0.775,0.14488798778438014,0.185,0.585,0.11999048999999998,0.02424006,0.07337927,0.01239018,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
2nd round vote,Le Pen,1619.66,0.3301350900806342,0.5308575256535322,0.02960095,0.30053419,0.31153717,0.21932134000000003,0.1253455,0.01366054,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
2nd round vote,Blank/Null/NA,370.4173,0.4022012470799825,0.4228004469553662,0.02946228,0.3727388,0.28007493,0.14272589,0.14558675,0.029411770000000004,"q8v13b_i5. Par rapport à il y a cinq ans, avez-vous le sentiment que la situation en France s'est... :
- En matière d'emploi"
