Indicator,Category,BASE,ST Elevé,ST Faible,Très élevé,Assez élevé,Assez faible,Très faible,Je ne sais pas,No rep.,Question
Politics,Very Left,217.9165,0.3349999,0.3271685714482382,0.12180298,0.21375614000000004,0.33227225999999993,0.30613515,0.02103347,0.005,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Left,1431.362,0.3227726459134726,0.25000398222112924,0.11201897,0.21075346,0.41837837,0.18490542999999998,0.06509856,0.00884489,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Center,776.1196,0.36043955081149864,0.25630959455217983,0.11274043,0.24769907,0.37853801999999986,0.205,0.05137319,0.00464929,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Total-right,1622.94,0.5649999,0.16808557309573982,0.26102245999999996,0.3049999,0.25604391,0.11983783,0.04824772,0.00984818,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Right,1193.119,0.5695897894510104,0.15802455580709052,0.23717307,0.33241697,0.26473503,0.10952192999999999,0.04850271,0.00764945,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Very Right,429.8207,0.5549999,0.19601373316827225,0.32478008,0.231336,0.23191817,0.14847379,0.047539920000000006,0.01595154,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Both left and Right,200.4265,0.4423355195046563,0.261387092026254,0.2339959,0.20833972,0.28114885,0.21354047,0.04784662,0.01512885,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Politics,Neither left nor right,1673.316,0.43696582115990046,0.29139451245311704,0.17833709,0.25862891,0.23287968,0.12219539,0.16919894,0.03876084,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Loss of job risk,High risk,556.2398,0.5210042503251295,0.24780679124363272,0.25404223,0.26696202,0.22104531,0.18106741,0.06673956,0.01014326,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Loss of job risk,Low risk,1874.312,0.4170776797032725,0.25989493744904796,0.14908697,0.26799097,0.31103829,0.15378438,0.10611055999999999,0.01198909,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
Loss of job risk,Zero risk,3478.817,0.4249999,0.235,0.17903562999999997,0.24499990000000002,0.32013678,0.15723765,0.07709017,0.02149987,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Arthaud,24.07418,0.38060299457759317,0.2600786818076462,0.16997838,0.21062465999999996,0.33349406,0.2161544,0.043924279999999996,0.02582415,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Poutou,32.85668,0.37972430568152354,0.35528391791258285,0.0290937,0.3530296600000001,0.25759279,0.17757117,0.17771278,0.0049999,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Roussel,98.04205,0.4315761451336442,0.16101264712437163,0.17106976,0.26050638,0.39686849,0.07436481,0.08664782000000001,0.01054243,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Melenchon,942.3053,0.3173212545870219,0.274595929790483,0.11670899000000001,0.20061216,0.39308291999999995,0.20070523,0.0738907,0.015,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Hidalgo,75.31895,0.3075175636410226,0.20612793991419157,0.073533,0.235,0.46147631999999994,0.17502036,0.03110752,0.023862799999999997,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Jadot,198.8808,0.255,0.3049999,0.07626614,0.1782349,0.4307060000000001,0.24499990000000002,0.06098150000000001,0.00881156,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Macron,1195.294,0.35899443986165747,0.26087238788114053,0.11913069,0.23986358,0.36841438,0.19144754,0.06942479,0.0117202,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Pecresse,205.1207,0.5534833880734612,0.15663816474885275,0.21421397,0.33926946,0.26874933,0.10618138,0.05045678,0.02112871,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Dupont-Aignan,88.56025,0.5543768225586536,0.14949991672336066,0.29031241,0.2640643,0.29612326,0.09663492,0.05286504,0,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Zemmour,303.4525,0.6775422842125209,0.13047366556545092,0.405,0.27254234,0.17923731,0.08024973,0.05022394,0.01274668,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Le Pen,993.0248,0.5607385636290252,0.1949999,0.28318014,0.27755822,0.23670476,0.11394276999999998,0.08192966,0.00668431,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Lassalle,134.5409,0.5230623550162069,0.18271402971141118,0.2006271,0.32243526000000006,0.27560385,0.15287559,0.02983847,0.01861925,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Blank/Null/NA,96.61228,0.44720691820956926,0.28046838352226033,0.22105192000000004,0.2261551,0.23233474999999998,0.10689800999999999,0.17357048,0.03998949,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Blank,63.86856,0.4646159237033057,0.2719889097233443,0.22460002,0.2400159,0.23555909,0.10801148000000002,0.16397755,0.02783582,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
1st round vote,Null,19.09123,0.3908514014026336,0.365,0.17821868999999999,0.21263276,0.20230127,0.1170923,0.24749610000000002,0.04225916,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
2nd round vote,Macron,2287.563,0.3596380077838293,0.26684943758925983,0.12399095000000002,0.23564732,0.36185666,0.20164909000000003,0.06520039,0.01165792,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
2nd round vote,Le Pen,1619.66,0.5762484719015102,0.1749999,0.28905795,0.28719095,0.23649346,0.10479848000000001,0.07339084,0.00906787,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
2nd round vote,Blank/Null/NA,370.4173,0.4160664202238934,0.215,0.17669746999999997,0.23936899999999997,0.34483892,0.1366623,0.07795748,0.024475119999999996,"q14v13b_i3. Et si une de ces installations devait être construite près de votre commune, pensez-vous qu'elle présenterait un risque pour vous ou pour votre environnement ?
- Des éoliennes au sol"
