Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Politics,Total-right,535.9052,0.5805179722085174,0.3936065557863592,0.23816115000000002,0.34235681999999995,0.27135751,0.12224893999999999,0.02587525,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Right,392.9878,0.6125218136542662,0.3550476630572247,0.26174044,0.35078137,0.25635859,0.09868932,0.03243045,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Very Right,142.9173,0.4925160215033449,0.49963412407035396,0.17332386999999996,0.31919215,0.3126019,0.18703215,0.00785009,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Both left and Right,57.09072,0.573149541641794,0.4127616537328659,0.24211763000000003,0.33012062999999997,0.30221129,0.11055045,0.015,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Politics,Neither left nor right,585.9814,0.36545904016748654,0.5449999,0.12762332,0.23783570999999998,0.39055968,0.1549999,0.08898139,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Loss of job risk,High risk,196.1573,0.4072554016597904,0.5849998999999999,0.1679653,0.23929005,0.41045772,0.1749999,0.00728703,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Loss of job risk,Low risk,649.2712,0.4782724075856129,0.47198674452216577,0.12405127,0.355,0.34826617000000015,0.12294171,0.04974085,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
Loss of job risk,Zero risk,1177.241,0.5349999,0.4175428820436937,0.23316135,0.30239373,0.31133506,0.10620773,0.04690258,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Arthaud,5.881341,0.4917540064417282,0.18627554498200327,0.37186111,0.11989295,0.12009759,0.06617788,0.32197062,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Poutou,10.73745,0.4974636436025313,0.5025365426614326,0.17187079000000002,0.32559285,0.19141016,0.31112638,0,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Roussel,38.20898,0.6021079337893868,0.37417329643450314,0.26125518,0.33957156999999993,0.29352629,0.08064696,0.025,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Melenchon,331.0276,0.473840247761818,0.49596378066360625,0.12441128999999998,0.34942917,0.34595635,0.15000704,0.03019578,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Hidalgo,30.12287,0.5872192789066911,0.3994297356128417,0.24307578,0.345,0.30060708999999985,0.09796592999999999,0.0133512,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Jadot,66.71886,0.41198485705541127,0.5298014684303658,0.06642095,0.34499989999999997,0.47097251000000007,0.05939334000000001,0.05821330000000001,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Macron,386.9499,0.7113693529834224,0.255,0.35274722,0.3580747100000001,0.21985345,0.035,0.03432462,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Pecresse,62.3511,0.7277310263972889,0.24161835156075834,0.26180292,0.46592811,0.17911873,0.0624997,0.03065072,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Dupont-Aignan,21.94642,0.3315769496801756,0.6157172787178957,0.06274194,0.26883505,0.40640492,0.20931235999999998,0.05270573,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Zemmour,93.84444,0.5187550802157271,0.4326375648892998,0.22855526,0.29019982,0.32763796000000006,0.10499990000000001,0.048607059999999994,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Le Pen,333.3762,0.4249999,0.5374768804731711,0.13420664,0.291523,0.34807583999999997,0.18940104,0.03679357,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Lassalle,41.76448,0.5551669744241997,0.4137432095407389,0.16576811,0.38939884,0.30256859,0.11117454,0.03108984,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Blank/Null/NA,35.84971,0.32510109565739864,0.5637412408635941,0.095,0.23169655,0.3896473400000002,0.17249833,0.11115777999999998,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Blank,22.17033,0.21127371581749124,0.6984614121666209,0.01663825,0.19463544,0.47137007,0.22709139,0.09026528,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
1st round vote,Null,7.461995,0.6098781894118127,0.2820032712431461,0.31796778,0.29191041,0.28200327,0,0.10811845,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
2nd round vote,Macron,765.8798,0.6367000409202592,0.3238275771211096,0.26992082,0.36677857,0.27959244,0.04423513,0.03947246,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
2nd round vote,Le Pen,534.734,0.42340939607356176,0.5470259979728238,0.132602,0.29080739,0.34150006999999993,0.20552554999999997,0.0295644,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
2nd round vote,Blank/Null/NA,124.6971,0.488382729028983,0.45825556488482894,0.10929235999999999,0.37909045,0.35155092,0.10670457,0.053362179999999995,"comp2v13b_i10_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts dissimulent les incidents qui surviennent dans les centrales nucléaires en France"
