Indicator,Category,BASE,ST Improbable,ST probable,Tout à fait improbable,Plutôt improbable,Plutôt probable,Tout à fait probable,No rep.,Question
Politics,Very Left,74.55247,0.7836244728041875,0.20051381262082935,0.59880726,0.18481722,0.18609323,0.014420600000000002,0.01586161,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Left,505.2924,0.8395384533786774,0.12132434606180502,0.59022281,0.24931564000000003,0.0989308,0.02239357,0.03913724,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Center,260.2607,0.8349998999999999,0.125,0.6215376100000001,0.21499990000000002,0.08815375999999998,0.03675585,0.03855288,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Total-right,535.9052,0.603326670463358,0.365,0.3549999,0.24832684000000016,0.20786643,0.15647893,0.0323279,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Right,392.9878,0.675,0.28499990000000003,0.41675644999999994,0.25735226,0.18087274,0.10444215,0.04057648,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Very Right,142.9173,0.40869425884759925,0.5816596731116527,0.18695525000000002,0.22173894000000002,0.2820923,0.29956723,0.00964638,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Both left and Right,57.09072,0.8054958844449676,0.16234664758125314,0.44020342,0.36529247,0.08103033,0.0813163,0.0321575,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Politics,Neither left nor right,585.9814,0.665,0.2349999,0.395,0.2651878000000001,0.16294055000000002,0.0736323,0.10323935,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Loss of job risk,High risk,196.1573,0.7096600534367062,0.2453624208734521,0.44046982,0.26919034,0.107565,0.13779742,0.04497707,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Loss of job risk,Low risk,649.2712,0.6549999,0.27768827571591037,0.3649999,0.29156502000000006,0.20692247,0.07076574,0.06574687,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
Loss of job risk,Zero risk,1177.241,0.7543178499559564,0.195,0.52931714,0.2249999,0.12631492,0.06819511,0.051172930000000005,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Arthaud,5.881341,0.6417692835698525,0.05939269632554889,0.49175401,0.15001524,0,0.0593927,0.29883814,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Poutou,10.73745,0.6788126603616315,0.32118752590233246,0.40099586,0.2778168,0.12497110999999998,0.19621642000000003,0,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Roussel,38.20898,0.8105958337542641,0.16397265773647976,0.64337772,0.16748297999999998,0.0849999,0.0787077,0.0254317,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Melenchon,331.0276,0.7641121163310854,0.185,0.55401997,0.21009194,0.13647249,0.04809239,0.051323,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Hidalgo,30.12287,0.842548203408241,0.12605956869315574,0.6792706,0.16327786999999996,0.01050137,0.11555821,0.0313922,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Jadot,66.71886,0.9049999,0.095,0.6828456,0.22306406,0.07875796,0.01533219,0,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Macron,386.9499,0.8932228694205632,0.08523777884423799,0.68982444,0.20339791,0.058270390000000005,0.02696737,0.02153887,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Pecresse,62.3511,0.6928219389874437,0.24025366032034717,0.47368114,0.21914096000000002,0.15146519,0.08878841,0.06692455,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Dupont-Aignan,21.94642,0.6037116759817774,0.3272063963051833,0.293395,0.30958662,0.22293659,0.105,0.06908179,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Zemmour,93.84444,0.3605281250546116,0.555,0.1374709,0.22305722,0.25750465,0.2969673300000001,0.0849999,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Le Pen,333.3762,0.4855694557679882,0.4749999,0.19825512,0.28731442,0.28364208,0.19304965,0.03773881,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Lassalle,41.76448,0.725,0.1749999,0.34910048,0.37579972,0.15396026,0.02192949,0.09921002,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Blank/Null/NA,35.84971,0.5591604506703122,0.33608612175663344,0.37352715,0.18563347,0.22960088,0.10648518,0.10475332,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Blank,22.17033,0.5163725573773598,0.389585224938014,0.355,0.16202001,0.25665562,0.13228166,0.09404271,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
1st round vote,Null,7.461995,0.7361709569625817,0.24044722624445608,0.44618175000000004,0.28998921,0.19452331,0.04592387,0.02338174,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
2nd round vote,Macron,765.8798,0.8549998999999999,0.11723297833419813,0.6546740099999999,0.20056607,0.08779426,0.02943874,0.027526799999999997,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
2nd round vote,Le Pen,534.734,0.48690302094125304,0.4624871431403277,0.21190255000000002,0.27500028,0.27387935,0.18860798,0.05060929,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
2nd round vote,Blank/Null/NA,124.6971,0.7443034360863243,0.19969085086982777,0.47059547,0.27370813,0.1298934,0.06979745,0.05600591,"comp2v13b_i9_groupe3. Voici des idées qui circulent souvent. Pour chacune d'elle, vous trouvez que cette idée est :
- Les experts préparent en secret le remplacement de la population française par les immigrés"
