Indicator,Category,BASE,Nathalie Arthaud,Philippe Poutou,Fabien Roussel,Jean-Luc Mélenchon,Anne Hidalgo,Yannick Jadot,Emmanuel Macron,Valérie Pécresse,Nicolas Dupont-Aignan,Eric Zemmour,Marine Le Pen,Jean Lassalle,ST Blanc ou nul + NSP,J'ai voté blanc,J'ai voté nul,No rep.,Question
Political similarity,Radical right,862.9946,0,0.00123674,0.00107151,0.011382779999999999,0.0009439699999999999,0.001378,0.02283791,0.005,0.04174625,0.21815768,0.68533458,0.0071613499999999995,0.003749230875836303,0.00229774,0.00110457,0.00034692,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,Debout la France,75.37656,0,0,0,0.04055886,0,0,0.10228465,0.02182024,0.37381419000000005,0.13831103,0.31321103,0.005,0.005,0,0.005,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,Reconquete,189.3363,0,0,0.00319291,0.01718133,0,0.00326257,0.015432080000000003,0.00255605,0,0.8215614499999999,0.12684303,0.005,0.004970581975035955,0.00344786,0.00152272,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,RN,598.282,0,0.00178394,0.00053515,0.00587188,0.0013616300000000002,0.00095521,0.01517223,0.0018158,0.01302804,0.03708741,0.9108007599999999,0.0083467,0.0032416352155003824,0.00222325,0.00051797,0.00050042,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Political similarity,No preference,1017.12,0.00881682,0.00716971,0.028592530000000005,0.186834,0.0097026,0.0308721,0.24932348,0.03297922,0.03019543,0.04938375,0.2330489,0.07084004,0.062241761050810133,0.04272219,0.01225285,0.00726672,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Total-left,1258.004,0.0080519,0.01302411,0.05286107,0.5416077600000001,0.04601915,0.08125482999999999,0.1749999,0.00227322,0.007015969999999999,0.00947758,0.03700462,0.016065,0.010344887615619665,0.00845591,0.00090352,0.00098546,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Very Left,169.0268,0.00739237,0.045,0.052643090000000003,0.76205405,0.0020866,0.01508456,0.05246229000000001,0,0,0.01352409,0.03819142,0,0.011561527521079496,0.00726675,0.00429478,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Left,1088.976,0.00815428,0.00813219,0.05289497,0.50633922,0.05283825,0.09152558,0.1949999,0.00262606,0.00810497,0.0088495,0.03682045,0.01855857,0.01015605486254977,0.0086405,0.00037714,0.00113842,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Center,654.9324,0.006194110000000001,0.00831325,0.0049999,0.12088901,0.01027622,0.06450812,0.56947843,0.055823840000000007,0.0169049,0.01775973,0.07078903,0.04209653000000001,0.011966937351091502,0.00802416,0.00195673,0.00198604,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Total-right,1366.263,0.00132353,0.00163718,0.00316785,0.02596229,0.00128158,0.00605762,0.22311158,0.10455835,0.02616531,0.17086396,0.41012323,0.01591527,0.009831620998299742,0.0051674,0.0034614,0.00120282,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Right,982.0253,0.00184139,0.00102265,0.00379173,0.0322439,0.00079634,0.00842779,0.29833793,0.14257026,0.02501621,0.14982547,0.3022747600000001,0.02090636,0.015,0.006589619999999999,0.005,0.00135559,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Very Right,384.2365,0,0.0032078,0.0015733399999999997,0.00990789,0.00252174,0,0.030774610000000004,0.007408270000000001,0.02910226,0.225,0.685,0.00315917,0.0023449198605546328,0.00153252,0,0.0008124000000000001,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Both left and Right,153.4948,0.0073181,0.00830515,0.03052101,0.10984242,0,0.05030319,0.36166991,0.03091543,0.03084876,0.03567267,0.24966592,0.062514,0.022423997425319947,0.01793048,0.00223254,0.00226098,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Politics,Neither left nor right,918.6852,0.00689557,0.0079167,0.01982948,0.1349999,0.00885052,0.04076231,0.25184742,0.01813912,0.03067289,0.042878,0.3173702600000001,0.060326,0.05951183278015146,0.04015079,0.01262807,0.00673297,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Loss of job risk,High risk,400.3233,0.01311594,0.01305179,0.01295592,0.3028827,0.01647959,0.02102573,0.14723277,0.01545564,0.01977698,0.05842813000000001,0.33232115,0.01957373,0.027699536849341518,0.01808559,0.00434882,0.00526512,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Loss of job risk,Low risk,1307.586,0.010240010000000003,0.01327773,0.0155733,0.24952263,0.010831569999999999,0.0422823,0.22811211,0.03085702,0.03123109,0.06205609,0.25384992,0.027697620000000003,0.025,0.01668878,0.00609374,0.0016859,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
Loss of job risk,Zero risk,2637.243,0.0018247,0.00380203,0.02686567,0.18203579,0.02029142,0.05125656000000001,0.315,0.059669660000000006,0.01509369,0.075,0.19620086000000003,0.03355255,0.0149999,0.01304529,0.00355758,0.0028042,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Arthaud,24.07418,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Poutou,32.85668,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Roussel,98.04205,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Melenchon,942.3053,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Hidalgo,75.31895,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Jadot,198.8808,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Macron,1195.294,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Pecresse,205.1207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Dupont-Aignan,88.56025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Zemmour,303.4525,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Le Pen,993.0248,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Lassalle,134.5409,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Blank/Null/NA,96.61228,0,0,0,0,0,0,0,0,0,0,0,0,1,0.66108118,0.19760665999999996,0.14131195,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Blank,63.86856,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
1st round vote,Null,19.09123,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
2nd round vote,Macron,2130.666,0.0036982100000000004,0.00258013,0.02455152,0.19626971,0.02250383,0.06689157,0.54676801,0.05769276000000001,0.0072065,0.014165650000000002,0.01941189,0.02559402,0.012667039320099912,0.009232,0.00138073,0.00205432,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
2nd round vote,Le Pen,1507.301,0.005560389999999999,0.0049999,0.00588266,0.10388469,0.00573138,0.01157653,0.006202329999999999,0.02425537,0.03672628,0.15731514999999996,0.6049999,0.02622423,0.0049999,0.0044562,0.0009411,0.00124389,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
2nd round vote,Blank/Null/NA,344.7404,0.011040069999999999,0.02227381,0.04819946,0.4156838700000002,0.03282278,0.06911363,0.01264608,0.07960735,0.02714823,0.03685231,0.035,0.07334496,0.1349999,0.09444489,0.02457841,0.01724415,t12022. Pour quel candidat avez-vous voté à l'occasion du premier tour de l'élection présidentielle ?
